RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
64,Tyler HerroMIA,PG,33,31.8,15.1,5.6,13.6,41.4,1.8,5.6,31.2,2.1,2.5,81.9,5.4,3.4,0.7,0.4,2.2,3,0,11.55
65,Dennis SchroderLAL,PG,40,31.5,15.0,5.2,12.0,43.1,1.0,3.2,31.7,3.7,4.5,83.1,3.5,4.7,1.0,0.2,2.5,1,0,12.92
66,Gary Trent Jr.POR,SG,41,30.8,15.0,5.3,12.8,41.4,3.0,7.4,39.7,1.4,1.8,77.3,2.2,1.4,0.9,0.1,0.8,0,0,12.73
67,Bojan BogdanovicUTAH,SF,42,30.4,14.9,4.8,11.8,41.1,2.5,6.5,37.7,2.8,3.2,87.3,3.9,1.9,0.5,0.0,1.5,0,0,12.11
68,Montrezl HarrellLAL,C,44,25.0,14.8,6.0,9.5,63.8,0.0,0.2,0.0,2.7,3.8,72.1,6.6,1.1,0.7,0.8,1.1,6,0,23.27
69,Joe HarrisBKN,SF,44,31.3,14.7,5.3,10.3,51.8,3.4,6.9,48.7,0.6,0.9,71.8,3.5,1.8,0.6,0.2,0.8,0,0,14.64
70,Deandre AytonPHX,C,42,30.4,14.5,6.3,10.3,60.6,0.1,0.4,23.5,1.9,2.6,75.0,11.0,1.6,0.4,1.1,1.7,22,0,19.49
71,Rudy GobertUTAH,C,42,31.0,14.5,5.5,8.5,64.6,0.0,0.0,0.0,3.5,5.8,60.1,13.4,1.3,0.5,3.0,1.7,30,0,23.20
72,Clint CapelaATL,C,37,29.2,14.3,6.3,10.9,57.7,0.0,0.0,0.0,1.7,3.2,54.7,14.2,0.9,0.7,2.2,1.3,26,1,24.11
73,Lonzo BallNO,PG,38,31.7,14.2,5.2,12.1,42.5,3.0,7.8,38.5,0.9,1.1,76.7,4.2,5.6,1.3,0.6,2.0,2,0,15.23
74,Carmelo AnthonyPOR,PF,42,25.7,14.0,5.0,11.8,41.9,1.8,4.6,38.7,2.3,2.7,85.8,3.3,1.7,0.8,0.7,1.0,0,0,15.16
75,Richaun HolmesSAC,C,39,30.2,13.9,5.9,9.2,65.0,0.1,0.2,28.6,2.0,2.5,81.3,8.8,1.8,0.7,1.6,1.3,16,0,19.92
76,Keldon JohnsonSA,SF,37,29.2,13.9,5.2,11.0,47.5,0.9,2.8,33.0,2.5,3.2,76.7,6.5,2.0,0.6,0.6,1.3,6,0,15.38
77,Marvin Bagley IIISAC,PF,37,25.7,13.9,5.6,11.2,50.2,0.9,2.6,35.4,1.6,2.9,56.0,7.4,0.9,0.5,0.5,1.3,10,0,16.23
78,Chris BoucherTOR,PF,43,23.8,13.8,4.9,9.2,53.3,1.6,3.7,42.2,2.4,3.2,75.5,6.4,1.0,0.5,1.9,0.7,7,0,22.60
79,Shake MiltonPHI,SG,36,24.9,13.8,5.0,11.3,44.6,1.0,3.2,30.4,2.8,3.3,86.3,2.3,3.1,0.6,0.3,1.6,0,0,14.33
80,Mikal BridgesPHX,SF,42,32.5,13.7,5.0,9.4,53.3,1.9,4.4,42.4,1.8,2.2,83.5,4.9,2.4,0.8,0.9,0.8,1,0,16.83
81,Doug McDermottIND,SF,41,25.5,13.6,5.3,10.3,51.7,1.7,4.5,37.1,1.3,1.6,83.1,3.9,1.4,0.3,0.1,0.9,0,0,15.37
82,Rui HachimuraWSH,PF,35,31.0,13.4,5.0,10.5,47.4,0.9,2.7,34.0,2.5,3.2,77.9,5.8,1.5,0.8,0.1,1.1,3,0,11.94
83,Kendrick NunnMIA,SG,36,28.8,13.3,5.1,11.5,44.7,2.0,5.5,36.2,1.1,1.1,92.7,3.2,2.6,1.1,0.3,1.6,0,0,12.47
84,Josh RichardsonDAL,SG,32,32.0,13.3,4.8,10.6,44.8,1.6,5.0,31.9,2.2,2.3,93.3,3.3,2.7,1.0,0.4,1.5,0,0,12.70
85,Josh JacksonDET,SG,38,24.8,13.2,4.7,11.2,42.2,1.2,4.2,27.7,2.5,3.5,71.6,4.2,2.1,0.9,0.9,2.2,1,0,12.48
86,Myles TurnerIND,C,39,30.8,13.2,4.6,9.5,48.5,1.5,4.4,32.9,2.5,3.2,78.4,6.5,1.0,0.9,3.4,1.4,7,0,16.65
87,Devonte' GrahamCHA,PG,32,30.1,13.1,4.1,11.4,36.3,2.8,7.7,36.6,2.0,2.6,79.3,2.7,5.2,0.9,0.1,1.3,3,0,12.87
88,Will BartonDEN,SF,40,30.9,13.0,4.9,11.1,44.3,1.8,4.7,38.3,1.3,1.8,74.6,4.1,3.2,0.9,0.4,1.7,0,0,12.47
89,Patty MillsSA,PG,39,25.7,12.9,4.5,10.2,43.9,2.7,6.9,39.4,1.3,1.4,90.7,1.8,2.5,0.7,0.0,1.1,0,0,14.37
90,Seth CurryPHI,SG,33,29.6,12.9,4.6,10.0,46.2,2.0,4.7,43.2,1.7,1.8,91.8,2.2,2.9,0.9,0.2,1.5,0,0,12.86
91,Jarrett AllenCLE/BKN,C,42,28.4,12.9,4.7,7.3,63.6,0.1,0.2,40.0,3.5,4.9,71.4,9.9,1.6,0.4,1.7,1.5,18,0,21.85
92,Tyrese HaliburtonSAC,PG,37,29.8,12.8,4.9,10.2,48.1,2.2,5.2,42.0,0.8,0.9,85.3,3.4,5.0,1.3,0.6,1.5,1,0,16.98
93,Kyle AndersonMEM,SF,38,27.3,12.8,4.7,9.9,47.6,1.4,3.8,36.3,2.0,2.6,76.5,5.8,3.4,1.2,0.7,1.4,2,0,16.97
94,Danilo GallinariATL,PF,31,23.4,12.8,3.8,9.2,41.9,2.2,5.3,40.9,2.9,3.1,93.8,3.9,1.5,0.6,0.2,1.0,0,0,15.61
95,Immanuel QuickleyNY,SG,39,19.8,12.7,4.0,10.1,39.5,1.9,5.1,37.5,2.9,3.2,88.9,2.2,2.3,0.5,0.2,1.0,0,0,17.46
96,Luguentz DortOKC,SF,39,29.6,12.6,4.3,11.1,38.7,2.0,6.0,33.0,2.1,2.7,76.9,3.5,1.6,0.8,0.3,1.5,0,0,9.27
97,Alec BurksNY,SG,32,25.7,12.6,4.3,10.3,41.6,1.9,4.7,40.4,2.1,2.4,85.9,4.3,2.2,0.8,0.3,1.1,1,0,14.81
98,Duncan RobinsonMIA,SG,44,33.0,12.5,4.1,10.0,41.6,3.3,8.5,38.2,1.0,1.2,83.0,3.8,1.7,0.6,0.2,1.2,1,0,9.47
99,Elfrid PaytonNY,PG,35,27.9,12.4,5.2,11.9,43.6,0.5,1.8,25.0,1.6,2.2,73.1,3.9,3.7,0.7,0.2,1.8,0,0,12.61
100,Joe InglesUTAH,SG,38,26.8,12.3,4.3,7.8,54.5,2.8,5.5,50.0,1.1,1.2,88.9,3.6,4.2,0.6,0.2,1.5,1,0,17.97
100,P.J. WashingtonCHA,PF,38,29.7,12.3,4.4,9.8,44.9,1.4,3.6,40.0,2.1,2.7,79.4,6.4,2.8,1.0,1.3,2.2,6,0,13.68
102,Jalen BrunsonDAL,PG,37,24.4,12.2,4.5,8.4,52.9,1.3,3.1,40.5,2.1,2.5,82.6,3.4,3.2,0.5,0.0,1.3,0,0,17.04
103,Thaddeus YoungCHI,PF,38,25.1,12.2,5.7,9.6,59.2,0.2,0.6,26.1,0.8,1.4,54.7,6.5,4.4,1.4,0.6,2.0,5,0,21.11
104,Enes KanterPOR,C,43,26.7,12.1,5.0,8.4,59.8,0.0,0.0,0.0,2.0,2.6,77.5,11.6,1.3,0.5,0.7,1.2,24,0,22.32
105,Marcus Morris Sr.LAC,SF,34,24.8,12.1,4.3,9.7,44.1,2.3,5.1,44.8,1.2,1.4,87.2,3.8,1.1,0.5,0.3,0.8,0,0,13.72
106,Kyle KuzmaLAL,SF,43,26.9,12.1,4.7,10.6,44.3,2.0,5.2,37.5,0.7,1.2,62.0,6.7,1.5,0.5,0.6,1.6,11,0,13.30
107,Lou WilliamsLAC,SG,41,22.0,12.0,4.3,10.2,41.9,1.1,2.8,38.3,2.4,2.8,86.2,2.1,3.5,0.9,0.1,1.6,2,0,15.74
108,Hamidou DialloOKC,SG,32,23.8,11.9,4.5,9.3,48.1,0.4,1.3,29.3,2.6,4.1,62.9,5.2,2.4,1.0,0.4,1.5,4,0,15.20
109,Darius BazleyOKC,PF,36,30.7,11.9,4.4,11.2,39.2,1.5,5.2,29.0,1.6,2.3,70.4,7.5,1.5,0.5,0.6,1.8,9,0,9.39
110,Kevin HuerterATL,SG,43,31.6,11.9,4.5,10.6,42.0,2.1,5.8,36.5,0.8,1.0,83.3,3.7,3.6,1.3,0.3,1.3,3,0,12.05
111,Brandon ClarkeMEM,PF,35,26.1,11.8,4.9,9.4,52.1,0.5,1.5,31.5,1.5,2.1,69.3,5.5,1.5,1.1,0.8,0.6,2,0,17.11
112,Justin HolidayIND,SF,42,32.3,11.6,3.9,9.0,43.5,2.6,6.6,39.6,1.1,1.3,82.1,3.9,1.7,1.2,0.4,0.8,0,0,11.45
113,Lonnie Walker IVSA,SG,37,26.2,11.5,4.4,10.4,42.5,1.7,4.8,35.6,1.0,1.2,78.3,2.8,1.6,0.5,0.4,1.0,0,0,10.15
114,Naz ReidMIN,C,41,19.8,11.4,4.4,8.5,52.3,0.9,2.5,34.0,1.7,2.3,71.9,4.6,1.2,0.6,1.1,1.1,1,0,18.51
115,Brook LopezMIL,C,42,27.2,11.4,4.1,8.7,47.1,1.5,4.5,33.7,1.6,2.0,82.9,5.0,0.7,0.5,1.4,0.9,1,0,13.91
116,Eric BledsoeNO,SG,42,29.2,11.3,4.1,9.8,41.6,1.7,4.7,36.4,1.4,2.1,65.6,3.4,3.7,0.7,0.3,1.5,3,0,11.00
117,Wendell Carter Jr.CHI,C,31,24.8,11.0,4.1,8.0,51.0,0.3,0.7,36.4,2.6,3.5,74.3,7.8,2.2,0.6,0.8,1.5,7,0,16.41
118,Serge IbakaLAC,C,39,23.6,10.9,4.5,8.9,50.7,1.0,2.8,35.2,0.9,1.2,82.2,6.7,1.7,0.2,1.2,1.1,5,0,17.68
119,Rudy GaySA,SF,34,21.7,10.9,4.0,9.8,41.0,1.6,4.2,38.5,1.3,1.7,78.9,4.9,1.5,0.7,0.5,1.1,0,0,14.20
120,Davis BertansWSH,SF,35,24.7,10.8,3.2,8.2,38.9,2.8,7.3,38.2,1.7,1.9,85.3,2.9,0.9,0.6,0.2,0.6,0,0,10.95
121,Bobby PortisMIL,C,42,21.1,10.8,4.6,8.6,53.3,1.1,2.3,46.9,0.6,0.8,71.4,6.9,1.1,0.8,0.4,0.8,5,0,19.03
122,Wayne EllingtonDET,SG,30,23.2,10.6,3.6,8.1,44.6,2.7,6.4,42.2,0.7,0.9,74.1,1.8,1.4,0.4,0.2,0.7,0,0,12.53
123,Saddiq BeyDET,SF,40,24.2,10.5,3.4,8.3,40.4,2.2,5.7,38.6,1.6,1.9,87.8,4.1,1.2,0.7,0.1,0.7,3,0,12.59
124,Donte DiVincenzoMIL,SG,42,27.1,10.5,4.0,9.4,42.2,1.9,5.0,37.4,0.7,1.0,65.9,5.5,3.1,1.1,0.2,1.3,3,0,13.28
125,Delon WrightDET,SG,35,29.3,10.5,3.8,8.2,46.5,0.9,2.5,35.6,2.0,2.6,78.9,4.6,5.1,1.5,0.5,1.3,2,0,16.72
126,Monte MorrisDEN,PG,36,27.2,10.4,4.0,8.5,47.1,1.1,3.2,35.1,1.3,1.8,76.2,2.2,3.4,0.7,0.3,0.7,0,0,13.52
127,Jae'Sean TateHOU,SF,42,28.3,10.4,4.1,7.9,52.4,0.8,2.3,33.0,1.3,1.9,70.9,5.3,1.8,1.2,0.5,1.2,2,0,13.65
128,Cameron JohnsonPHX,SF,36,23.8,10.3,3.6,8.2,44.3,2.1,5.6,38.5,0.9,1.0,86.5,3.3,1.4,0.6,0.4,0.8,0,0,13.30
129,Mason PlumleeDET,C,40,27.6,10.3,4.2,6.8,60.8,0.0,0.2,0.0,2.0,3.0,65.8,9.5,3.6,0.9,0.9,2.0,11,2,18.24
130,Cedi OsmanCLE,SF,42,25.1,10.1,3.5,9.9,35.7,1.8,5.7,31.5,1.2,1.5,78.5,3.6,2.7,1.0,0.1,1.1,1,0,10.64
131,Jae CrowderPHX,PF,39,27.6,10.1,3.4,8.5,40.5,2.4,6.3,38.4,0.8,1.0,84.2,5.0,2.0,0.8,0.3,0.9,0,0,11.72
132,Kelly OlynykMIA,PF,43,26.9,10.0,3.8,8.7,43.1,1.8,5.7,31.7,0.7,0.9,77.5,6.1,2.1,0.9,0.6,1.3,1,0,12.12
133,Dwayne BaconORL,SG,43,24.9,9.9,3.6,9.1,39.6,1.0,3.0,33.6,1.7,1.9,85.5,2.8,1.1,0.5,0.1,0.7,0,0,8.77
134,Jeff GreenBKN,PF,40,27.1,9.8,3.5,6.9,50.2,1.4,3.3,41.7,1.5,2.0,75.9,3.8,1.5,0.6,0.3,0.7,0,0,11.87
135,Patrick WilliamsCHI,PF,41,28.3,9.8,3.7,8.0,46.9,0.9,2.3,38.7,1.4,1.8,77.3,4.9,1.2,0.7,0.8,1.4,3,0,10.07
136,Desmond BaneMEM,SG,36,22.4,9.7,3.6,7.3,49.2,1.8,3.9,45.7,0.7,0.8,86.2,2.9,1.3,0.7,0.1,1.0,0,0,12.22
137,Mike MuscalaOKC,C,35,18.4,9.7,3.4,7.6,44.6,1.9,5.3,37.0,0.9,1.0,91.7,3.8,0.8,0.2,0.3,0.6,0,0,14.92
138,De'Anthony MeltonMEM,SG,28,19.9,9.6,3.7,7.9,46.8,1.6,3.8,41.1,0.7,1.0,74.1,3.4,2.9,1.3,0.6,1.1,1,0,17.84
139,Miles BridgesCHA,SF,42,26.3,9.6,3.7,7.3,50.2,1.2,3.2,37.5,1.1,1.2,90.0,5.6,2.0,0.6,0.7,1.6,6,0,12.63
140,Grayson AllenMEM,SG,28,24.6,9.5,3.0,7.5,40.7,2.0,4.9,40.1,1.5,1.7,89.4,3.1,2.1,1.0,0.2,1.0,0,0,12.43
141,Eric PaschallGS,PF,37,17.4,9.5,3.7,7.6,49.3,0.4,1.3,30.6,1.6,2.3,71.8,3.2,1.3,0.3,0.2,1.1,0,0,13.27
142,Bryn ForbesMIL,SG,42,18.8,9.5,3.4,7.3,46.4,2.1,4.7,45.5,0.5,0.7,74.2,1.2,0.6,0.2,0.0,0.5,0,0,11.84
143,Paul MillsapDEN,PF,33,23.5,9.5,3.5,6.9,50.7,1.1,2.8,38.0,1.4,2.0,68.7,5.0,1.6,0.9,0.7,0.9,1,0,16.15
144,Daniel TheisBOS,C,41,24.3,9.4,3.8,6.8,55.6,0.8,2.2,35.2,1.1,1.6,68.2,5.3,1.6,0.6,1.0,1.0,3,0,15.53
145,Reggie BullockNY,SF,39,27.8,9.3,3.3,7.9,41.7,2.1,5.2,39.4,0.6,0.7,85.7,3.4,1.4,0.7,0.2,0.7,0,0,9.60
146,Furkan KorkmazPHI,SG,33,19.6,9.2,3.1,7.7,40.6,1.8,4.8,36.9,1.2,1.7,74.5,2.2,1.1,0.7,0.2,0.9,0,0,11.66
